,review,polarity
138,제품 무게가 좀 무거워 캠핑할때 쓰려고 샀는데 좀 불편할것 같아요.,부정
139,혼자 조립하려고 했는데 하기가 너무 어렵네요,부정
140,다만 물통 외형이 물 세척하기에 좀 입구가 좁아서 불편하네요. 그점만 별로에요.ㅜ,부정
141,날개3개가 기능이 최고구나확인했네요,긍정
142,실망이에요.. 왜케 작동 소리가 큰가요.. ㅜ 안 좋네요.. ㅜ ,부정
143,"또, 물통을 비울때마다 잔여물이 흘러나와서 너무 불편해요 ㅜ ",부정
144,소비전력효율이 1등급이라 전기세 걱정없이 사용할 수 있어서 좋아요.. ,긍정
145,매일 사용하는데  전기요금도 얼마 안나와서 만족합니다.,긍정
146,시원하기라도하면 감수하고 사용하겠지만 이저저도아니라 불만입니다.,중립
147,무게도 생각보다 무거워서 이동이 쉽지 않아 실망스럽네요,부정
148,소음이 없는 수준으로 조용하네요~~,긍정
149,플라스틱 냄새랄까 아무튼 냄새가 좀 나는 편입니다.,중립
150,물통 끼우고 빼는게 불편하네요. ㅜ 뚜껑이 문제인지 잘 안돼서 실망스럽네요. ㅜ ,부정
151,헤드의 앞과 뒷면의 커버가 아구가 딱 맞지 않아서 실망이 큽니다. ㅜ,부정
152,사용해보니 작동 소음이 아주 적어서 만족해요. ,긍정
153,베란다에서 빨래 건조용으로 샀는데 뽀송하니 잘 말라서 좋아요.,긍정
154,그래도 성능은 좋아서 기숙사가 쾌적해 졌습니다.,긍정
155,파워냉방 틀자 마다 바로 집안이 시원하고 쾌적해져서 굿굿이에요,긍정
156,바람 나오는 부분이 작아서 아쉽고,부정
157,디자인도 맘에들어요,긍정
158,제품 사용시 소음이 약간 있어서 좀 불편해요. ㅜ ,부정
159,5단계까지 올려도 소음이 없어서 엄청 놀랐네요.,긍정
160,바람이 안 느껴져요.,부정
161,제습 성능이 무척 우수해서 실내 공기를 쾌적하게 해주어 만족해요. ,긍정
162, 소리도 생각보다 조용하니 좋아요!,긍정
163,다만 연속 제습 호스 연결 부위가 꺾여져 있어 불편하고 불만족스럽네요. ㅜ ,부정
164,하단부에 360도 회전 바퀴도 부드럽게 돌아가서 이동할때 편리해요.. 굿 ~,긍정
165,계속 틀고 있어야 하는데 에너지효율 3등급 ㅜ.ㅜ 속상해요. ,부정
166,앱으로 이용할 수 있어 좋네요,긍정
167,물병도 빼기 편하게 잘 되어있어 좋아요  ,긍정
168,더운 바람이 나와서 집이 너무 후덥지근해져요,부정
169,구매후 알게된 사실...너무 비싸게 주고 샀네요.,부정
170,마감이 싼티 팍팍 나고 흔들거리고 약해요.... 별로예요..,부정
171,제품 용량이 커서 그런지 기름도 많이 먹네요. 기름값 걱정됩니다. ㅜ ,부정
172,실용적이진 않네요,부정
173,"에너지 효율 3등급이라... 전기세가 걱정이고, ",부정
174,따듯합니다ㆍ편리합니다ㆍ이동사용도 작아서 좋습니다,긍정
175,디자인도 투박하지 않고 예뻐요~,긍정
176,일일 제습 용량이 17L로 매우 크고 물통 용량도 6L로 대용량이라서 자주 물을 갈아주지 않아도 되니 편리해서 좋아요.. ,긍정
177,설치기사가 설치비외에 15만원이나 추가비용 더 청구하네요. ~! 사전에 안내도 없고 결국 비싸게 구매한 기분이라 기분이 안좋네요,부정
178,사실 작년모델이 더 심플하고 맘에 들었는데 아무래도 신형이 뭐라도 낫지싶어서 신상구입했네요,긍정
179,바람이 계속적으로 시원하다는 겁니다,긍정
180, 바퀴가 달려서 여기저기 이동하며 제습하기도 편해서 잘 사용하고 있어요~~~,긍정
181,배터리 충전이 안돼서 사용 못하고 있어요. ㅜ 당황스럽고 화나네요.. ,부정
182,소음은 약간 있지만 그럭저럭 쓸 만합니다. ,중립
183,"생각보다 작다..생각했는데, 받아보면 진짜 작아요",부정
184,또 제품 사이즈가 좀 큰편이라 방에서 쓸때 공간 많이 차지해서 별로고 아쉬워요. ㅜ,부정
185,작동시켜보니 보송보송 잘 건조 되는게 성능이 엄청 좋네요.,긍정
186,"처음켤때 냄새 심하게 나구요. , ㅜㅜ .더 멀리에 놓아두고 취침하는게 좋습니다. ~! ",부정
187,기름 냄새가 너무 심해 두통이 와서 머리가 아프네요ㅠㅠ,부정
188,가성비 좋은 제품이라 만족스러워요!!,긍정
189,"다만, 걱정했던 뜨거운 바람은 이제품에서도 느껴져서 마음이 안 좋네요. ㅜ",부정
190, 부피도 작아 공간차지도 많이 하지 않아 너무 좋네요~,긍정
191,다른 쇼핑몰보다 저렴한 가격에 구입을 해서 만족합니다.,긍정
192,하단부에 바퀴가 있어서 이동할때 힘들이지 않고 편하게 옮길 수 있어서 만족해요.. ,긍정
193,디자인도 예쁘고 만족합니다~~,긍정
194,24시간 작동해도  튼실해서 고장없이 잘 사용합니다.,긍정
195,빨강과 검정의 조화가 촌스럽네요,부정
196,여름철 폭우로 집안 전체가 꿉꿉했는데 제품 사용하고부턴 공기가 상쾌해져서 대만족입니다. ,긍정
197,바람이 계속적으로 시원하다는 겁니다,긍정
198,헉 ㅜ 무슨 제품이 이렇게나 시끄러울까요. ㅜ 작동소음이 커서 실망이네요. ,부정
199,제품 성능 우수해 좋네요 ^^,긍정
200,근데 타임딜 가격보다 더 싸게 판매해서 기분이 영 별로예요ㅠ,부정
201,근데 제품 사이즈는 무척 크네요.. 조금 더 작았다면 좋았을텐데.. ㅜ,부정
202,날개도 7엽이라서 풍량도 좋고 부드러워요.,긍정
203,예상만큼 바람이 시원하지도 않아서 성능도 실망이에요..  ,부정
204,물통 용량도 적당하고 쓰기 좋네요. ,긍정
205,웅~ 하는 소음은 좀 나지만 그럭저럭 괜찮아요. ,중립
206, 설치도 간단하고 작동성능도 만족합니다. ,긍정
207,제품 모양이 심플하고 굉장히 예뻐서 마음이 흡족합니다. ,긍정
208,소음이 심해서 너무 시끄러워서,부정
209,6단풍속이라 좋고 1단은 은은한 바람이라 애기들한테 틀어주기 좋아요.,긍정
210,OOO보다 비싼 가격됨,부정
211,상품 품질 무척 좋네요. 마음에 쏙 드네요.!,긍정
212,바람세기가 약함. ;;;,부정
213,사용할떄 작동음이 거의 없으니 거슬리지 않아서 마음에 듭니다. ,긍정
214,제품 사이즈가 거실에 사용하기 딱 적당해서 마음에 들어요.. ,긍정
215,죠그셔틀로 바람세기 조절을 할 수 있어서 마음에 듭니다.,긍정
216,소모품을 다시 구매해야해서 조금은 불편해요.,중립
217,사용할때 팬소음이 거의 없고 조용해서 마음에 들고 강추해요~!! ,긍정
218,바람세기 조절시 바람을 낮출때는 처음으로 다시 돌아가 풍속조절을 해야하는 불편함이 있으나...,부정
219,6평형이라 사이즈가 조금 아쉽네요 좀 더 큰걸 살걸,부정
220,그래도 나름 유명한 OOO인데 이런 저질의 제품을 팔다니,부정
221,설치후 보름정도 사용하던중 통풍구가 끝까지 열리지 않아 as를 신청 기분좋게 구매했는데 너무 실망..,부정
222,"일반풍,자연풍,수면풍은 뭐하러 구분해놨는지... 차이가 없네요.. 바람세기조절은 쓸만하네요.",중립
223,불편한점은 본체에 손잡이가 없어서 이동할때 힘들고 안좋네요.. ,부정
224,너무간편하고 시원하게 잘 쓰고 있습니다,긍정
225,10리터 용량이라 작은방에 두기 좋아요,긍정
226,저렴한 가격으로 구매했는데 너무 좋네요~^^,긍정
227,색상도 블랙인데 챠콜같은 빛바랜 느낌이네요 별로에요...,부정
228,음식하면 잘 작동이 되네요,긍정
229,설치는  설명서가 보고 따라하니 어렵지는 않습니다,긍정
230,직접 받고보니 모양도 더 예쁘고 디자인이 깜찍해요~ ,긍정
231,다만 제품 용량이 4인가족기준으로 샤워하기엔 좀 부족해서 아쉽네요. ㅜ  ,부정
232,혼자 설명서 보고 설치하기 쉽고 간편해서 좋아요. ,긍정
233,다만 플라스틱 타는 냄색 좀 나서 아기도 있는데 좀 불편하고 아쉬웠어요. ㅜ ,부정
234,시원해요,긍정
235,에너지 효율등급도 걱정없이 사용하려고 했는데 예상이 빗나갔네요 ㅠㅠ,부정
236,또 본체 밑바닥쪽이 약해서 조금만 건드려도 넘어질 것 같아서 마음에 들지 않아요.. ,부정
237,회색 주문했는데 아이보리가와서 더 좋습니다. 색상 예뻐요.  ㅎㅎ ,긍정
238,무선이라서 여기저기 들고다니면서 사용 할 수 있어서 좋아요~,긍정
239,넘 작은 사이즈라  불이 날까 걱정되요 ㅋㅋ ,부정
240,사용법이 쉬워서 사용하기 좋네요ㅎㅎ,긍정
241,색상은 기대했던 것보단 별로네요,부정
242,소음이 냉장고 돌아가는 소리보다 더 크네요ㅠ,부정
243,소비전력 까지 3등급이라 전기세도 많이 나오겠어요 휴..,부정
244,상품 받고보니 퀄리티가 더 좋네요^^,긍정
245,가격도 저렴한 제품도 아니고 정말 어이가 없네요...,부정
246,올여름 예쁜 스큘레이터 두개로 잘보내요^~^,긍정
247,작고 가벼워서 굿~!,긍정
248,에너지효율 1등급이라 전기료도 걱정없어요.,긍정
249,소리가 조금 크네요,부정
250,적립금 궁금해서 들어왔는데 앞분 상품평에 구입구입 50%사용이라고 되어있네요? 당황이네요. ,부정
251,일일 제습량은 적어 조금 아쉽네요,부정
252,다만 풍력이 12단으로 틀어놔도 예상보다 약해서 아쉽고 불만족스럽네요. ㅜ ,부정
253,와 근데 생각보다 실물 사이즈가 좀 크네요 옮길때 힘들어요. ,부정
254,약간의 소음은 있는데 신경이 거슬리는 정도가 아니니 괜찮네요.,중립
255,제품 구성이 별로네요.. 있어야 부속품들이 없고 따로 구매해야 되니 별로네요. ,부정
256,모터소리는 조용한데 날개 돌아가는 바람소리는 신경 쓰이네요.,중립
257,무선이라서 여기저기 방마다 쓸 수 있어 편리해 좋아요,긍정
258,물통에 물 고이는거 보니 제습은 잘 되는 것 같아 기분 좋아요,긍정
259,작동소음도 적은 편이라 불편함 없고 만족해요. ,긍정
260,기름연비가 무척 좋아 46평아파트 올 겨울 난방비 걱정 덜었어요. 굿~!,긍정
261,선풍기 재질이 고급스럽지 않네요...약간 싼티가 나요.,부정
262,소음도 거의 없어서 너무 좋아요,긍정
263,소음 꽤 납니다. ㅠㅠ,부정
264,습기도 잘 잡혀서 올여름 실내가 보송보송해서 만족합니다.,긍정
265,그런데 물통을 빼면 아랫부분에 물이 고여서 매번 닦아내야해서 불편하네요ㅠㅠ,부정
266,소음이 좀 커요 ㅠ,부정
267,저렴하지만 시원하게 사용합니다 ,긍정
268,저렴한 가격에 살 수 있어서 좋고요~ ,긍정
269,가성비 최고입니다~!,긍정
270,아주 잠깐 이상한 냄새가 나다 금새 없어졌지만 제품 별로예요,부정
271,다만 바퀴가 우레탄이라면 소리가 덜날텐데 거슬리네요ㅜ,부정
272,바람은 너무너무 약해요.ㅜㅜ,부정
273,예상보다 작동소음이 적어서 흡족해요.. ,긍정
274,바람도  튼건지 안튼건지 모를정도로 약해서 맘에 안들어요,부정
275,하루 종일 틀어도 전기세 걱정도 없어서 좋아요,긍정
276,물통용량은 좀 더 컸으면 좋겠어요,부정
277,물통 용량이 생각보다 작아서 금방금방 물이 차서 아쉬워요.,부정
278,색상도 좋아하는 색이라 맘에 들어요!!,긍정
279,"이건 진짜 조용ㅋㅋ 바람 소리만 나고 1단도 조용해서 좋아요,",긍정
280,다만 윗면 슬라이딩 덮개가 딱 아구가 안 맞아서 살짝 들뜨네요. ㅜ 실망했어요. ,부정
281,디자인이 크롬몰딩으로 되어있고 컬러도 심플하고 좋아요 ,긍정
282,단점은 제품 화력이 약해서 30cm 정도로 가까이 가야 따뜻함을 느껴요. 성능이 좀 아쉬워요. ㅜ,부정
283,버튼이 한번씩 안먹히는데 제것만 그런건지 손가락 아플만큼 꾹 눌러야 되요,부정
284,소음도 별로 안나고 조용해요.,긍정
285,제품 설치설명서가 안와서 인터넷 보고 하느라 애먹긴했지만,부정
286,태풍소리 써큘레이터라도 괜찮으신분께 강츄상품임,부정
287,좌우회전시 고정 하는게 불편한거 빼곤 좋아요,중립
288, 바람세기가 그닥약하고,부정
289,선풍기 켜면 소리가 좀 나긴 하지만,부정
290,제품 소음도 없어서 좋구요. ,긍정
291,바람세기 강도도 엄청나,부정
292,일찍부터 장마철이 다가와 제습기 효과 톡톡히 보고 있어요. 제습력 대박 좋아요..,긍정
293,또 충전은 얼마나 해야하는지? 표시가 없어서요.,부정
294,작동시 소리는 너무 시끄러워서 좀 아쉬워요 ,부정
295,설치후 일주일도 안되어 벌써 고장이 났습니다.,부정
296,"무게, 등 좋고~",긍정
297,본체 아랫면에 바퀴가 달려 있어 이동이 용이해서 마음에 들어요. ,긍정
298,기능도 많고 다양한데 빨래건조기능도 있으니 아주 좋습니다.,긍정
299,실내가 습해서 몇시간씩 켜두는데 제습이 잘되고 보송해져서 만족합니다.,긍정
300,다른제품도 사용해봤지만 역시 000가 짱! 화력이 좋아서 실내공기 따뜻하고  감자도 굽고 너무 만족해요^^,긍정
301,성능이 좋아 제습도 잘 되고,긍정
302,무엇보다 에코 절전형이라서 에너지효율이 좋네요,긍정
303,디자인도 예전보다 더 예뻐져서 어디에 놓든 깔끔한 인테리어 효과에 도움을 주네요.,긍정
304, 가격이 한두푼 하는것도 아니여서 너무 속상해요ㅠㅠ,부정
305,소음없이 부드러운 회전이 정말 만족스럽습니다!!!,긍정
306,마감이 허술해서 마음에 들지 않습니다.,부정
307,제가 구입하고 다음날 가격이 더 저렴해져서 슬퍼요.. ㅜ 비싸게 샀는데. ㅜ,부정
308,최신상을 저렴하게 구입했습니다 강추에요,긍정
309,소리는 선풍기 돌아가는 소리보다 작아서 매우 마음에 듭니다. ,긍정
310,근데 제품 따뜻해서 소음이 용서가 되네요 ^^ ,긍정
311,계절가전에서는 제일 유명한 ooo회사 제품이라서 그런지 사용해보니 더 멋지고 좋아요. ㅎ,긍정
312,사용중에 발견했는데 본체 이음새 부분이 벌어지네요ㅜ 실망이에요.,부정
313,혼자 설치하려면 너무 힘들고 설명서도 너무 대충 만들었어요,부정
314,소음이 정말 없어서 만족해요~,긍정
315,다만 젖은 운동화 말리려고 보니 신발키트는 제가 알아서 사라고 하네요.ㅜ 황당하고 기분 안좋네요.. ,부정
316,리모컨도 포함되어 있어 맘에 쏙 들어요~,긍정
317,별로 시원하지도 않고,부정
318,절대 싼게 아니니 절대 여기서 구입하지 마세요,부정
319,캠핑용으로 구입했으나 전력 부하로 망했어요. ㅋ,부정
320,제습 잘 잡아주는것 같아요,긍정
321,품질좋은 제품  받아서  기분도 좋고,긍정
322, 슈퍼에서 파는 이삼천원짜리보다 못한거 두개에 보너스로 선심쓰듯 두개 더 주고서 그것도 사은품이라고 ㅠㅠ ,부정
323,ooo는 정말 다좋네요! 최고예요~,긍정
324,욕실에서 사용하다 보면 도중에 자꾸 꺼져서 별로예요 ㅠㅠ,부정
325,빨래건조는 다만 시간이 너무 오래 걸려서 별로예요.,부정
326,그래도 최근 모델이어서 사용하는데 무리는 없습니다,중립
327,제습기능은 짱짱하니 만족해요. ,긍정
328,소음이 있네요 ㅡㅜㅡ,부정
329,아이보리 색상 제품으로 너무 받고 싶었는데 대체해 보내주셔서 너무 좋았어요. 감사해요!! ,긍정
330, 진동과 높낮이가 다른 소음이 발생해서 조금 아쉽습니다. ,부정
331,사용해보니 물통이 금방 차서 용량을 큰 걸 살걸 후회되네요. ㅜ 기분 안좋아요. ,부정
332,바퀴가 있어 어디든 이동이 가능해서 사용하기 너무 편리해서 좋아요~,긍정
333,한쪽만 물을 빨아 들이고 현재 습도표시가 안되서 불편하고,부정
334,가격저렴하고 리모컨도있고 만족,긍정
335,소음좀있지만 견딜만해요,중립
336,소음은 조금 있는편이라서 시끄럽네요ㅠ,부정
337,타이머 설정된 것처럼 중간에 계속 켜져서.. 불편하네요..,부정
338,제품 결합쪽 마감 퀄리티가 좋지 않네요,부정
339,그런데..소음이 너무 커서 머리가 아프고 에어프라이기 3대 가동하는 소음이네요..ㅠㅠ,부정
340,크게 따뜻함이 퍼지질 않네요.,부정
341,장마철임에도 제습기 덕에 상쾌한 생활을 할 수 있었습니다~,긍정
342,집안 실내온도가 낮아서 사용하는데  훈훈해져서 따뜻하네요 만족합니다~,긍정
343,기격대비 넘 안좋아요 3개나 사서 돈 아까워요,부정
344,1단은 느껴지지도 않고 4단은 해야 조금 느낄 수 있어 바람은 아쉽네요..,부정
345,제습기능은 짱짱하니 만족해요. ,긍정
346,그런데 소음은 약간 있음.,중립
347,편리...,긍정
348,바퀴가 달려서 옮기기 편하네요~,긍정
349,제품 무게도 생각보다 무거워서 끌고 다녀야해요...,부정
350,전기요금 걱정되지만,부정
351,처음 작동될때 약간 시간소요가 되는 부분도 아쉬운 점입니다. ,부정
352,생각했던것 보다 조그마해서 걱정했는데 나름 괜찮네요.,긍정
353,다만 창문 없는 드레스룸에 장시간 사용했더니 뜨거운 바람이 나와서 방이 후끈하네요.. ㅜ 그 점은 안좋아요.ㅜ,부정
354,소비전력효율이 1등급이라 전기세 걱정없이 무한대로 사용 가능합니다.. 마음에 쏙 들어요. ,긍정
355, 소음도 좀 있어요. 많이 거슬리지는 않아요. ,중립
356,해드부분 손잡이가 불편하고,부정
357,후기처럼 제품 성능이 정말 너무 좋아서 만족합니다.너무 따뜻해졌어요^^,긍정
358,수평만 잘맞으면 소음도 적네요.,중립
359,설명들은 대로 1등급은 아니구3등급 ㅠㅠ,부정
360,날개가 부러질거같은 느낌이 들어서 강풍은 못틀겠어요,부정
361,이전모델보다 소음은 큰편이네요. ,부정
362,색상은 어두운색이 없어 아쉽습니다. ,부정
